x,y,vx,vy,yaw,yaw_rate,wf,wr,f_FL,f_FR,f_RL,f_RR,status,omega,steer,timer
-3.891134320157558,3.984563225092078,0.036716303722117594,0.0005061464445397674,0.0022376094483336382,0.0018629732578271574,-0.5251070257076336,1.7483565462591384,4.189558770075651,4.105782127357107,6.095534810967638,5.9405037137729275,7.0,0.85,0.0,0.2111111111111111
-3.8907172726098986,3.9845587945334997,0.035074176385131946,-0.0007844865889375312,0.0022872535975957723,0.001557572332005497,1.3130781707603212,3.5789707483388,3.822587214617702,3.8444115690057474,6.32618621034334,6.326266939686298,7.0,0.85,0.0,0.22222222222222224
-3.890297377377816,3.984560767763394,0.039450570205624105,0.0006214657674732859,0.002304836039987224,-0.00025553748962443796,-2.279528036835943,-0.025417436134653526,4.7059314827840675,4.60444864829313,5.571743446224002,5.434960014297055,7.0,0.85,0.0,0.23333333333333334
-3.8898910487919656,3.984561978905086,0.03491519945030441,-0.000566975022098271,0.002306173343186143,-0.0007705491601751988,0.12160771949111893,2.392302447244653,3.631341727301276,3.627147648300077,6.525097380150135,6.5108992811502695,7.0,0.85,0.0,0.24444444444444446
-3.889486787726095,3.9845592839295207,0.03741672957459359,2.2842460712569327e-05,0.002323472055857956,0.0020515139267647925,-1.8158075896406887,0.44993543433192307,4.1478409980937165,4.420531371914394,5.671052724759806,6.063869749132524,7.0,0.85,0.0,0.2555555555555556
-3.889136847958196,3.984560922855766,0.03844776561484782,0.0001857542127956031,0.0023249351073232356,0.000887039868625692,-2.345673888508673,-0.07852371026917715,4.0662821406096725,4.286256735910139,5.768513484128484,6.1339631825155925,7.0,0.85,0.0,0.26666666666666666
-3.8887458610114405,3.9845562554725937,0.032545159755654016,-0.000831580079774107,0.00232504307468711,-0.0006787845486294429,0.7468294323867959,3.013805820154509,3.7885639201436376,3.8188912495831584,6.3237247343909315,6.361547411583059,7.0,0.85,0.0,0.2777777777777778
-3.888362855945375,3.9845534197578156,0.036345256484828094,0.00042042609679455415,0.002315433313220964,0.0009520154975822643,-2.3628756368219856,-0.10417791811735705,4.406126500393874,4.285594978326612,5.876250424233686,5.714919680030638,7.0,0.85,0.0,0.2888888888888889
-3.887814592587983,3.984560401771551,0.07027696617205317,0.0006751228277291426,0.0022974654147402416,0.001370567329594773,2.0050325772590134,4.2640800641172225,3.7695550133088176,4.108867403171419,5.968471960461297,6.467309335445026,7.0,0.85,0.0,0.3
-3.88677378455034,3.984568135084147,0.11327016454746841,0.000626933411845731,0.002295483864824522,-0.0013717617492982742,2.7569027819249454,5.01053988931141,3.4987490162059216,3.6234099575863232,6.510979272800014,6.706834141746276,7.0,0.85,0.0,0.3111111111111111
-3.8852440558367367,3.9845731524120875,0.1584156421351365,-0.0005084851649733062,0.0022800097603205265,-0.0004867598372211197,3.1587512018402664,5.408374704665536,3.736202039781378,3.702325172983745,6.477166231953615,6.433139013409813,7.0,0.85,0.0,0.32222222222222224
-3.883212560322483,3.9845745950575147,0.2035474650415661,0.00019043751062182413,0.002291803032348459,0.0010047740518474475,4.162377062646203,6.402721726803875,3.7851954022666696,3.776441910456724,6.3984592476234905,6.389601097943789,7.0,0.85,0.0,0.33333333333333337
-3.8806692794818423,3.984576680637018,0.24804963684549292,-0.00028818693183644075,0.0023068579583531705,0.00171183924793852,4.98493802007494,7.256337099410634,3.507751022539953,3.450227211296889,6.648791124432752,6.634857283112781,7.0,0.85,0.0,0.34444444444444444
-3.877627277798962,3.9845825283935867,0.29192171264401806,-0.0003678019398877816,0.0023157682165857825,0.00129286721006201,6.123127149812245,8.390657190199807,3.8419816775569333,3.4748577173433537,6.5121208578466545,6.3185978203244595,7.0,0.85,0.0,0.35555555555555557
-3.874502801047438,3.98458751106159,0.33131161717095486,0.001000963471525959,0.0023331100369189655,0.0002227678671766801,6.870693170285575,9.142529022121956,3.7334210606613722,3.366151164124556,6.51055414768545,6.44957435371563,7.0,0.85,0.0,0.3666666666666667
